"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Race"	"Race Code"	"Sex"	"Sex Code"	Deaths	Population	Crude Rate
	"2019"	"2019"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1504	448762	335.1
	"2019"	"2019"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1437	409900	350.6
"Total"	"2019"	"2019"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			2941	858662	342.5
	"2019"	"2019"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	794	192889	411.6
	"2019"	"2019"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	1165	222027	524.7
"Total"	"2019"	"2019"	"Washington"	"53"	"Black or African American"	"2054-5"			1959	414916	472.1
	"2019"	"2019"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	25312	3073835	823.5
	"2019"	"2019"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	27068	3091461	875.6
"Total"	"2019"	"2019"	"Washington"	"53"	"White"	"2106-3"			52380	6165296	849.6
"Total"	"2019"	"2019"	"Washington"	"53"					58263	7614893	765.1
"Total"	"2019"	"2019"							365464	51344853	711.8
	"2020"	"2020"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	1134	394857	287.2
	"2020"	"2020"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	1480	401004	369.1
"Total"	"2020"	"2020"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			2614	795861	328.4
	"2020"	"2020"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	17780	3559235	499.5
	"2020"	"2020"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	19118	3260317	586.4
"Total"	"2020"	"2020"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			36898	6819552	541.1
	"2020"	"2020"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	12294	1439130	854.3
	"2020"	"2020"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	14410	1432320	1006.1
"Total"	"2020"	"2020"	"California"	"06"	"Black or African American"	"2054-5"			26704	2871450	930.0
	"2020"	"2020"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	116811	14397367	811.3
	"2020"	"2020"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	136781	14483848	944.4
"Total"	"2020"	"2020"	"California"	"06"	"White"	"2106-3"			253592	28881215	878.1
"Total"	"2020"	"2020"	"California"	"06"					319808	39368078	812.4
	"2020"	"2020"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	255	47714	534.4
	"2020"	"2020"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	281	48863	575.1
"Total"	"2020"	"2020"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			536	96577	555.0
	"2020"	"2020"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	477	135453	352.2
	"2020"	"2020"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	476	121012	393.3
"Total"	"2020"	"2020"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			953	256465	371.6
	"2020"	"2020"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	260	58411	445.1
	"2020"	"2020"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	409	67579	605.2
"Total"	"2020"	"2020"	"Oregon"	"41"	"Black or African American"	"2054-5"			669	125990	531.0
	"2020"	"2020"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	18092	1897468	953.5
	"2020"	"2020"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	19970	1865007	1070.8
"Total"	"2020"	"2020"	"Oregon"	"41"	"White"	"2106-3"			38062	3762475	1011.6
"Total"	"2020"	"2020"	"Oregon"	"41"					40220	4241507	948.2
	"2020"	"2020"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	561	89628	625.9
	"2020"	"2020"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	656	90289	726.6
"Total"	"2020"	"2020"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			1217	179917	676.4
	"2020"	"2020"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1661	465242	357.0
	"2020"	"2020"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1733	428023	404.9
"Total"	"2020"	"2020"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			3394	893265	380.0
	"2020"	"2020"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	881	199294	442.1
	"2020"	"2020"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	1324	230831	573.6
"Total"	"2020"	"2020"	"Washington"	"53"	"Black or African American"	"2054-5"			2205	430125	512.6
	"2020"	"2020"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	26844	3085850	869.9
	"2020"	"2020"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	29486	3104455	949.8
"Total"	"2020"	"2020"	"Washington"	"53"	"White"	"2106-3"			56330	6190305	910.0
"Total"	"2020"	"2020"	"Washington"	"53"					63146	7693612	820.8
"Total"	"2020"	"2020"							423174	51303197	824.8
"Total"									6958375	1004455043	692.8
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: Asthma-related deaths from 2000-2020"
"States: California (06); Oregon (41); Washington (53)"
"Year/Month: 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018;"
"2019; 2020"
"Group By: Year; State; Race; Sex"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 12, 2025 6:38:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 12, 2025 6:38:44 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Racial Differences."
"3. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
